
[ START : main.exe ]

// Case 01 (00)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT               ,false,eAS_GAIN_TRANSIENT                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_GAIN_TRANSIENT_GUIDANCE_ONLY ,false,eAS_GAIN_TRANSIENT_MAY_DUCK                      ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_NONE                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )

// Case 02 (1073741824)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_NATIVE_TRANSIENT                             ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_OFF              ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT                             )

// Case 03 (-2147483648)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_GAIN                              ,eAA_AUDIOFOCUSSTATE_GAIN                         ,false,eAS_GAIN                                         ,NA                                               )
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT                    ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_GAIN_TRANSIENT_MAY_DUCK           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,NA                                               ,NA                                               )
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_CALL_ON                           ,NA                                               ,NA   ,eAS_CALL                                         ,NA                                               )
(eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_OFF     ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    )

// Case 04 (65536)-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
(eAS_GAIN                                         ,eAA_AUDIOEVENT_RELEASE                           ,eAA_AUDIOFOCUSSTATE_LOSS                         ,false,eAS_GAIN_RELEASE                                 ,eAS_GAIN                                         )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_VOICESESSION_START                ,NA                                               ,NA   ,eAS_VR                                           ,NA                                               )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_CALL_ON                           ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_CALL                                         ,NA                                               )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_DISCONNECTED                      ,NA                                               ,NA   ,NA                                               ,eAS_GAIN                                         )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_ON               ,eAA_AUDIOFOCUSSTATE_LOSS_TRANSIENT               ,true ,eAS_NATIVE_TRANSIENT                             ,NA                                               )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_NATIVE_TRANSIENT_MAY_DUCK_ON      ,NA                                               ,NA   ,eAS_NATIVE_TRANSIENT_MAY_DUCK                    ,NA                                               )
(eAS_GAIN                                         ,eAA_AUDIOEVENT_NATIVE_GAIN                       ,eAA_AUDIOFOCUSSTATE_LOSS                         ,true ,NA                                               ,eAS_GAIN                                         )

